item,mean RT,sd for RT,mean rating,sd for rating
savior,1532.6,884.2,5.3,2.2
savor,1802.8,1049.7,3.7,2.1
savvy,1845.1,1158.4,2.9,1.7
saying,2173.9,2354.2,2.9,2.1
scalpel,1854.6,1182,6,1.8
scandal,1509.5,783,4.1,2.4
scatter,2110.7,1808.8,5,2.1
scenic,1982.2,1359.9,4.7,2.3
scepter,1808,1539.3,3.7,2.6
scholar,1467,1009.4,5.4,2
schooner,1575.7,772,2.8,2.5
science,2817.8,6763.2,5.2,1.9
scissors,1151.6,588.7,6.6,1.2
scoundrel,2233.8,2205.1,4.7,2.2
scrawny,1590.2,699,5.5,1.6
scribble,1375.2,581.8,6,1.6
scrimmage,2730.5,5951.6,5.7,2
scrotum,1644.1,1036.7,6.3,1.5
scruffy,1513.1,695,5.5,1.6
scrumptious,2060.1,1033.4,3.4,2.3
scruples,2618.5,2709.8,2.6,2
scuba,1402.9,1050,6.8,0.6
sculpture,1361.2,835.2,5.9,2.1
scurry,1773,1306.5,4.6,2
scurvy,1879.9,1055.4,4.4,2
scuttle,2253.6,2498,3.7,2.3
season,1800.7,1764.6,5.9,1.8
second,2226.7,1767.9,4.2,2.3
secret,1900.8,1413.3,3.7,2.2
section,2949.3,4483,3.7,2.5
sector,1850,1083.1,3.7,2.2
secure,2676.8,4479.2,3.8,2.1
sedan,1508.8,862.6,5.9,1.8
sedate,1734.9,1237.9,4.2,2.3
segment,1845.2,1126.2,4.2,2.1
seismic,1959.7,1273.4,3.2,2.1
seizure,1738.6,1351.5,6,1.8
seldom,2872.8,4461.1,2.4,2.1
select,2408.6,2624,3.4,2.3
selfish,2471.5,2756.2,3.3,2.2
seltzer,1776.3,1216.8,3.5,2.6
senate,1380.1,704.3,5,2.2
senile,2353,1813.4,3.1,2
sensor,2382.6,2855.9,4.1,2.3
sentence,1879.7,1111.5,4.8,2.3
sentry,1721.6,1532.2,3.7,2.7
septic,1854.4,2408.5,4.2,2.3
sequel,1838.2,1224.1,3.4,2.4
sequence,1555.7,915,3.2,2.3
serene,1890.9,1767,3.5,2.1
sergeant,1941.6,1304.8,5.3,2.1
series,2035.3,2236.6,4,2.2
sermon,1439.4,687.8,5.3,1.9
serpent,1498.9,1432,5.9,2.1
servant,1366.1,792.2,6.1,1.2
service,2101.4,1985.4,3.7,2.5
session,1911.1,1538.9,3.5,2.1
settle,3014.3,6046.4,3.5,2.1
seven,1164.5,421.1,6.4,2
severe,2210,2513.2,3.7,2.2
sewage,1450.7,961.4,6.3,1.5
sewer,1304.9,681.7,6.2,1.8
shabby,1932.8,1070.2,4.2,2.1
shadow,927,1488,6.5,1
shallow,2000.1,2227.8,5.2,2
shaman,1355.5,551.9,3.7,2.6
shampoo,1120.5,705.3,6.7,0.8
shatter,1520.9,792.8,5.4,2
shelter,1584.5,1319.8,5.9,1.4
sherbet,1610.5,1637.7,5.7,1.8
sheriff,1491.3,1029.4,6.6,1.2
shilling,2155.8,1469.9,3.6,2.5
shimmer,1604.3,877.5,5.7,2.1
shiner,2672.9,1997.2,4.4,2.4
shingle,1387.1,2345.5,6,1.9
shipment,1535.1,1072.6,5.5,1.7
shiver,1413,1097.2,5.8,1.8
shoddy,1810.7,1621.5,3,2
shogun,2008,1117.5,4.1,2.5
shortage,1938.9,1208.7,3.4,2.4
shoulder,1269.2,843.2,6.6,0.7
shovel,1017.2,371.9,6.9,0.2
shower,1488.5,1764,6.5,1.3
shrapnel,1544.7,662.5,4.8,2.4
shudder,2028.9,1574.8,4.6,2.3
shutter,1822,1795.1,5.6,2.1
shuttle,1496.1,885,6.4,1.4
sibling,1652.2,1524.5,6.1,1.6
sickle,2143.7,1179.4,4,2.5
siding,2294.6,2272.7,5.1,2.5
signal,2284.4,2329.1,5.6,1.5
silent,3211.6,3140.9,4.2,2.3
silly,1694.9,1620.5,4.5,2.3
silo,1541.5,1158.5,5.4,2.2
silver,1706,1520.3,6.6,1.2
simmer,3548.5,5714.7,4.8,1.9
simple,2083.1,1974.7,3,2
simply,2364.2,3953.2,3.1,2
sincere,1939.5,1694.5,2.8,2
single,1515.6,875.4,5,2.4
sinus,1668.2,1148.2,5.8,1.6
siren,1444.9,840.6,5.4,2.2
sirloin,1224.8,398.1,6.4,1.3
sister,1461.5,1402.9,6.3,1.6
sizzle,1654.2,1300.7,5.8,1.3
skillet,1265.4,544,6.7,0.8
skinny,1178.6,556.7,6.3,1.3
skirmish,2071.3,1591.3,4.5,2.2
skittish,2182.2,1923,3.7,2
slander,2208.4,1817.1,2.6,2.1
slaughter,1527.5,781.6,6,1.6
slogan,2307.2,3166.6,4.6,2.1
slumber,1511.6,720.5,4.6,2.2
smitten,2038.5,1123,3.6,2.2
smother,1833,1119,4.6,2.2
smuggle,1756.6,1264,4.4,1.9
snafu,1737.8,1129,1.5,1.4
snooty,1625,717.7,3.8,2.1
snorkel,1404.1,903.8,6.6,1.1
snuggle,1597.8,1083.1,6,1.6
sober,2275.4,1994.9,4.9,2
soccer,1022.1,433.3,6.9,0.6
social,1943.2,1631.4,3.7,2.3
socket,1317.6,755.8,5.8,1.8
soda,922.6,287.6,6.6,1.5
sofa,1074.3,395.8,6.9,0.3
soiree,1677.5,978.2,2.5,1.9
solace,2868.1,3530.1,2.4,2.1
solar,2187.1,2713,5.2,2.2
soldier,1163.5,678.6,6.7,0.8
solemn,2121.3,2135.6,3.2,2
solid,1675.9,1091.1,5.3,2
solo,1270.7,555.1,4.8,2.5
solvent,2334,2732.1,4.3,2.2
someone,1994.3,2221.9,4.5,2.4
something,2085.9,1915.2,2.3,1.8
somewhere,1800.2,1102.7,3,2.2
sonar,2130.4,1752.2,4.8,2.4
sonic,1993,1313.4,4.7,2.5
sonnet,1564.8,660.5,4.6,2.4
sordid,1973.6,1479.9,1.9,1.6
sorrow,1634.4,1606.9,4.4,2.3
sorry,1816.4,2733.2,3.8,2.3
sovereign,2059.7,1672.9,2.8,2.1
spandex,1187,349.9,6.4,1
spaniel,2371.8,1734.2,4.7,2.6
sparkle,1827.4,1827.8,6.4,1.1
sparrow,1265.8,1025,6.4,1.6
spasm,1634.6,782.3,5.2,2
spastic,1977.6,1650.1,3.9,2.2
spatter,2698.1,3137.5,4.6,2.4
special,2399.9,1839.4,2.9,2.2
species,2315.6,2298.9,4.8,2.2
spectral,2027.1,1874,2.6,1.9
spectrum,1867.9,2394.4,4.8,2.3
spider,913.9,216.2,6.8,1.1
spiffy,1849.8,1137.1,4.2,2.4
spinach,1434.3,1137.7,6.5,1.3
spinster,1718.2,833.9,3.8,2.5
spiral,1403,554.9,6,1.8
spirit,2515.1,3007.1,4.4,2.2
splatter,1453.1,1880.4,5.8,1.5
splendid,2638.7,3268,3.1,2
splendor,2466.8,1846.8,2.7,2
sprinkle,1691.7,1330.1,6.2,1.5
squadron,1415.4,470.6,4.3,2.5
squander,1980.5,1187.2,2.7,1.9
squeamish,1825.3,1694.9,4.1,2.1
squirrel,984.7,340.4,6.7,0.9
stable,1474.1,807.5,5.4,2.3
stagger,2029.3,1578.6,4,2.2
stampede,1525.1,1354.2,5.9,1.9
standard,2086.7,1632.2,3.2,2.2
staple,1238.8,806.1,6.5,1.3
stapler,1061.5,382.3,6.5,1.5
stardom,2139.4,1788.7,4.1,2.3
stardust,1979.1,1511.3,4.8,2.1
starlet,1982.6,1402.9,3.7,2.5
startle,2234.8,1864.3,3.9,2.2
statement,1898,1175.2,3.7,2
static,1975.8,1413.2,4.2,2.4
station,1701.4,1685.4,6.1,1.3
statue,2110,2905.4,6.5,1.6
stature,3956.9,5022.4,3.3,2.3
status,1897.1,1104.8,3.7,2.2
statute,2500.5,2231.6,3.5,2.5
steady,2388,2014.9,3.8,2.2
stellar,2140.8,1620.3,3.1,2.4
sterile,2413.6,4228.7,4.8,2.1
sterling,1619.3,876.7,4.8,2.4
sternum,1462.7,639.8,6,1.9
steward,1699.8,1304.5,4.7,2.6
stickler,2052.6,1259.5,3.1,2.1
stigma,2983.9,3894.1,3.3,2
stingy,2294.8,1952.3,4.3,2.2
stockade,2014.3,1284.9,3.6,2.5
stomach,1091.1,474.5,6.6,0.9
storage,1777.2,1859.7,5.7,1.8
story,2417.8,2796.8,5.3,2.2
straddle,2038.8,1564.1,5.6,1.8
stranger,1916.5,1769.3,5.6,1.9
strangle,1831.5,1110.5,5.8,1.9
stretcher,1781.6,1186.4,5.4,1.9
stricken,1708.4,862.1,4.4,2.3
stroller,1174.5,604.6,6.3,1.6
strudel,1707,928,5.3,1.9
struggle,2229.4,1780.4,4.2,2
stubborn,2534.2,3085.4,4.2,2.3
student,1124.5,517.1,6.4,1.3
study,1463.6,604.9,5.3,2
stumble,1735.1,1548.5,5.1,1.9
stupid,1718.9,1386.7,3.7,2.5
sturdy,1851.4,1899.3,4.6,2.4
subdue,2265.3,2445.1,3.4,2.3
subject,1813,1480.9,4.1,2.2
sublet,1815,1274.3,2.2,1.9
sublime,2058.4,1521.3,3.2,2
submit,2954.2,3401.1,4.2,1.9
subscribe,1874.5,1739.3,3.9,2.3
substance,1621.8,1357.2,4.2,2.6
subtle,2005.8,1401.3,3.2,2.2
subtract,1899.4,1107.4,4.6,2.3
suburb,1052.8,1599.3,5.3,2.4
subway,1178.2,676.5,6.7,0.9
succeed,2275.7,2076.7,2.8,2.1
success,2715,2010.1,4,1.8
suction,2309.6,3029,4.5,2.2
sudden,2136.4,1691.8,2.9,1.7
suffer,2087.2,1140.3,4.4,2.3
suffice,2094.2,1528.7,3.1,2
sugar,987.5,325.4,6.7,1.1
suggest,2022.1,1321.1,2.9,1.8
suitor,1706.1,1128.1,5.5,2
sulfur,1916.3,1177.3,5.2,2.1
sully,2013.9,1616.3,2.1,1.8
sulphur,2324.1,1831.2,4,2.5
sultan,1392.2,592.9,5,2.5
summer,1322,810.5,6.8,0.7
summit,1642,1130,5.3,1.9
summon,2088.5,2421.6,3.7,2.3
summons,2336.6,2023.4,3,1.9
sundae,1209.3,545.7,6.1,1.8
sunny,1372,792.5,6.7,1.3
super,2256.5,1694.9,3.3,2.2
superb,2311.2,2008.2,2.9,2
supper,2678.8,4627.4,6.2,1.5
supple,2359.7,1960,3.1,2.1
supply,2231.4,1836.9,3.6,2.2
support,2096.9,1494.9,4.6,2
suppose,2064,2099.1,2,1.8
suppress,1962.6,1372.3,3.2,2.2
supreme,1925.1,2285.5,4.1,2.2
surface,1941.5,1408.9,5.5,2.1
surgeon,1056.9,371.7,6.9,0.8
surly,1637.9,1146.8,2.4,1.8
surplus,1701.4,1335.1,3.3,2.2
surprise,1849.3,1748.9,4.7,2.1
surreal,2313.7,2230.9,2.9,1.9
surround,3091.3,4027.4,4.4,1.8
survey,1739.9,1210.9,5.4,1.9
survive,3770.8,5595.6,4.5,2.2
sushi,1059.9,453,6.6,1.3
suspect,2311.4,2618.4,4.5,2.1
suspend,2104,2485.1,4.3,2.1
suspense,2400.5,1838.3,3.9,2.3
sustain,1931.8,1209.4,2.7,1.8
suture,1589.6,651,4.5,2.7
swallow,1702.9,932.5,6.2,1.3
sweater,1107.2,489.7,6.6,1.4
swindle,1752.1,1175.9,3.3,2.2
symbol,2020.2,2038.8,5.2,2
symptom,1889.6,1607.9,4,2.5
syndrome,1932.7,1462.3,3.9,2.3
syringe,1378.6,476.4,6.1,1.8
syrup,1051.1,383.8,6.4,1.6
system,1990.3,1639,4.2,2.4
table,1354.6,924.6,6.8,1.3
tablet,1869.1,1386.5,5.5,1.8
tabloid,1760,916.7,6,1.5
taboo,1727.8,2131.8,4.2,2.2
tackle,1808.4,1839.5,5.9,1.6
taco,1236.2,595.1,6.9,0.4
tactic,2301.9,2067,2.7,2.3
taffy,1114.4,326,5.9,1.9
tailor,1259.3,648,6,1.7
talcum,1618.1,1131.9,3.3,2.3
talent,1831.6,1017.1,3.6,2.2
talon,1400.3,689.5,5,2.5
tampon,1382.8,1040.5,6.4,1.6
tangle,1690.9,1426.7,5.2,2.2
tango,1345.2,698,6.3,1.3
tantrum,1774.1,1995.2,5.1,2.2
tardy,3372.8,8296.7,5,2.3
target,1135.7,455,6.1,1.7
tartar,1600.7,830.3,4.9,2.3
tassel,1435.5,990.2,5.9,1.8
tattoo,963.8,282.2,6.6,1.4
tavern,1172.9,452.3,5.7,1.9
tawdry,1798.6,1165.5,1.3,0.9
taxi,907.8,308.8,6.9,0.6
teacher,923,273.5,6.8,0.5
technique,2479.2,2567.9,3.9,2.2
teeming,1956.1,1384,2.6,2
temper,2067.6,1770.4,4.2,2.3
tempest,1670.1,659.8,3.8,2.2
temple,1483.3,1496.4,6.1,2
tempo,2209.4,2395.6,3.8,2
tenant,1852.4,1310.8,4.6,2.3
tender,1558.5,921.1,4.8,2.3
tendon,1414.8,754.5,5.5,2.3
tennis,1525.9,1979.3,6.5,1.2
tenor,1637,1115.6,3.1,2.4
tension,1675.2,1581.5,4.1,2.6
tenure,1947,2007.9,2.4,1.8
tepee,1771.3,1359.7,5.5,2.3
termite,1435.5,2387.7,5.9,2.1
terrace,1551.1,1039.4,5.2,2.3
terrain,1911.9,1792.1,5.9,1.4
terror,1714.5,1526,4.8,2.2
texture,1668.1,1399.7,4.5,2.4
theory,1702.1,1255.9,3.4,2.3
therefore,1593.1,819.6,1.6,1.2
thermal,2171.7,2775.7,5,2.2
thesis,1802,931,4.3,2.4
thorough,2000.7,1580.5,2.1,1.7
thousand,1948.9,1902.2,5.6,1.9
threshold,2066.5,2063.9,3.7,2.4
throttle,2372.9,3624.1,5.2,2.1
thunder,1701.5,1955,5.9,2
thyroid,1826.5,1596.7,5.5,2
ticket,1073.6,472.3,6.3,1.3
tickle,1546.2,1071.6,5.8,1.4
tidy,1589.6,871.7,4.8,1.9
tiger,1078.9,406.1,6.6,1.5
timber,1387.5,825.2,6.3,1.9
timid,1804.2,1657,4.5,2.3
tingle,1893.1,1804.9,4.6,2.3
tinker,2708.7,3574.5,3.7,2.4
tinkle,1982.4,2039.7,4.9,2.3
tiny,1484.2,1325.7,5.9,1.3
tipsy,1508.6,799.3,5.3,2
tissue,1246.6,697.8,6.4,1
titan,1674.8,1282.8,5.2,2.1
title,1897.4,1523.9,5,2.3
today,2161.1,2492.3,4.2,2.6
toddler,1291.9,731.8,6.5,1.3
tofu,1281.2,916.3,6.2,1.7
toga,1439.2,670.7,6,2.1
toilet,985.4,319.8,6.9,0.5
token,1434.3,782.7,5.8,1.9
toner,2005.8,1633.2,4.1,2.4
tonic,1917.1,1968.8,4.6,2.2
tonight,1884.1,1129.5,4.3,2.2
tonsils,1593.6,1649.9,6.1,1.9
topaz,1721.8,1443.9,5.3,2.4
topic,2118.9,2293.3,3.1,2.3
topple,1613.3,884.1,4.5,2.3
torment,2485.6,3105.3,4.2,2.1
torrid,1837.9,1205.9,2.5,1.9
torso,1486.1,1354.1,6,1.6
tortoise,1241.2,695.8,6.4,1.5
torture,1929.9,1338.1,5.5,2
total,1999.9,1832.5,3.9,2.3
totem,1376,676.8,4.5,2.6
toupee,1674.8,1045.3,5.6,2.2
towel,708.7,1433.8,6.8,1.1
tower,1079.6,337.8,6.5,1.2
toxic,1785.2,1178.1,5.5,1.8
toxin,1576.5,1267.8,5.3,2
traction,1917.5,1926.9,4.7,2.1
tractor,1095.2,568.1,6.8,0.6
traffic,1141.7,545.4,6.6,1
tragic,2048.2,2148.7,3.7,2
trailer,1396.3,644.2,6.4,1.7
traitor,1554.1,846.9,5,2.1
trample,1920.7,817.8,5,2
tranquil,1447.8,1846.4,4.9,2.5
transfer,2346.1,2397.1,4,2.4
transit,2126,1432.7,3.9,2.2
translate,1895.7,1222.4,3.7,2.5
transmit,2169.1,1427,3.6,2.3
transplant,1835,1447.4,5.1,2.1
transport,1775.5,1384.2,5.2,2.4
trapeze,1663.9,1363.2,5.8,1.9
trauma,1456.5,597.6,4.9,2
travel,1557.7,819.1,5.5,1.8
traverse,1909.7,1399,3.4,2.1
treason,2301,3873,3.5,2.5
treasure,1418,1135.2,6.7,1.1
treatment,2179.6,2171.8,3.9,2
treaty,2075.8,1758.8,4.6,2.1
tremble,1330.1,542.8,5.3,1.9
tremor,1737.3,1365,3.7,2.4
trespass,1877.9,1062.7,4.2,2.2
triad,2052.7,1680.7,4,2.4
trial,1493.8,824.4,5.5,1.7
tribal,1198.2,1629.1,5,2.3
tribute,1854.3,992.3,4,2.2
trifle,2036.6,1574.7,3,2
trigger,1474.4,721.2,6,1.6
trinket,1714.1,777,5.1,2.1
trio,1825.5,1254.8,4.8,2.4
triple,1971.1,1391.4,5,2.2
tripod,1482.8,768.7,6.1,1.6
triumph,2100.8,1943.6,4.3,2.2
trolley,1461.6,785.7,5.6,1.9
trombone,1162.6,405,6.5,1.6
trooper,1328.9,875.5,6.4,1.5
trophy,1299.3,944.9,6.9,0.4
tropic,1849.1,1630.9,5.9,2.1
trouble,1976.6,1876.3,3.8,2.1
trouper,2938.6,3017.3,3.7,2.3
trousers,1315.1,898.7,6.2,1.5
trumpet,1161,470.8,6.4,1.7
tuba,1270.1,550.4,6.1,1.7
tulip,934.4,334.8,6.7,1.2
tumble,1699.1,1303.5,4.9,2.1
tummy,1276.6,677.9,6.4,1.2
tumor,1654.2,1303.4,5.7,2
tuna,1080.3,400.1,6.7,1.1
tunic,1357.5,685.4,5.6,2.3
tunnel,1474.6,1159.8,6.4,1.3
turban,1238.7,530.3,6.1,2
turbine,2125.8,2650,4.8,2.5
turkey,1315.7,1121.6,6.5,1.5
turmoil,1948.5,2516.4,4,2.3
turnip,1397.7,920.6,6.2,1.8
turtle,1113.5,525.2,6.9,0.4
tutor,1478.3,799.9,5.7,1.7
tutu,1320,549.1,6.2,1.9
twinkle,1457.5,1115,5.5,2.3
twister,1434.8,1119.9,6.6,1.3
tycoon,1928.2,1439.4,4.5,2.3
typhoon,2342.2,4675.7,6.1,1.6
typo,2061.9,1953.9,5.1,1.9
tyrant,1405.6,630,4.3,2.4
ugly,1402.5,1847.8,5.4,2
ulcer,1573.6,782.5,5.3,2
ultra,2055.6,1568.3,2.9,2.3
uncle,1080.5,371,6.4,1.4
uncouth,1649.2,1043.6,1.8,1.4
union,2286.9,2230.2,4.5,2.2
unique,2129.1,1247.4,3.6,2
unite,3045.7,4205.7,4.2,2.1
unless,1574.4,890.5,2.4,2
until,1684.5,2424.5,2,1.7
upon,1591.4,827.4,2,1.5
upset,2132.2,1773.6,4.3,2.1
urban,2029.1,1541.9,5,2.4
urgent,2264.4,1808.3,3.6,2
usher,1562.7,1172.1,6.2,1.7
utmost,1878.5,1630.7,2,1.4
utter,1739.2,2129.3,4.3,2.3
vacant,2323.4,4261.5,4.5,2.4
vacate,2257.5,2398.2,4.2,2.4
vaccine,1700.1,1161.1,6.1,1.6
vagrant,1863.8,2152.8,2.6,2.1
valet,2093,3404.7,5.1,2.2
valid,1764.3,1227.7,2.6,2
valley,1208,623,6.2,1.5
valor,1467.8,700.2,3,2.2
vamoose,2079.2,1664.1,2.4,1.9
vampire,1117.3,569.1,6.8,0.5
vanish,2094.6,2244.4,4.5,2.2
vanquish,3858.9,10828,3.3,2.3
vantage,2030.3,1541.2,3.2,1.9
vapor,2363.4,2773.6,5.3,1.9
varmint,1820.3,1076.8,4.7,2.3
vary,1846.9,2724.2,2.9,1.9
vassal,2563.3,3149.3,2.8,2.2
vector,1916.8,1254.6,3.3,2.3
vegan,1741.6,1252.4,5.2,2.1
velcro,1477.2,547.9,6.2,1.3
velvet,3443,11846.9,6.2,1.7
vendor,1587,1039.6,5.8,1.5
veneer,2148.2,1599.2,3.9,2.5
venom,1328.4,480.3,5.5,2
venture,2401.6,3329.2,3.1,2.1
venue,1846,1952.1,3.7,2.1
venus,1760,1432.5,5.7,1.8
verbal,1928.8,1435.1,4.1,2.5
verdict,2377.7,2134.2,4.2,2.1
vermin,1978.1,1956.5,4.9,2.4
vermouth,2246.2,1940.5,2.4,2.1
version,1853.5,1044.5,3.2,2.2
versus,2583,3746.3,3.7,2.5
very,1636.3,1377.6,1.9,1.7
vessel,1451.5,2675.5,5.9,1.9
veto,1554.4,1248.8,3.6,2.5
vibrant,2164.1,1848.4,5,2.1
vibrate,1817.4,1263.4,5.6,1.7
vicar,1751.3,1567.1,2.3,2
vicious,2213.7,2784.9,4.5,2.2
victim,1492.9,834.4,5.6,1.7
vigil,1898.6,1335,3.8,2.4
villa,1211.1,410.4,5.1,2.5
village,1838.5,1912.4,6.2,1.4
villain,1925.1,1823.8,5.7,1.9
vintage,1804.3,1289.4,4.5,2.4
vinyl,1577.7,1339.2,5.5,2
viper,1173.4,427.3,5.3,2.3
virgin,1537.4,1151.5,5.4,2.1
virile,1851.6,1436.7,2.1,1.5
virtue,1653.4,1043.9,2.7,1.8
virus,2118,2336.1,5.4,2.1
visa,1555.9,1230.2,5.9,1.9
vision,2045.2,1646.6,5.2,2.2
visor,1599.5,909,5.6,2.1
vital,2045.7,1512.2,3.9,2.4
vitro,1837.6,1560.4,2.4,2.1
vivid,2089.1,2733.1,4.5,2.1
vixen,1306.3,640.8,4.4,2.6
vodka,1263.3,937,6.7,1.1
voltage,1789.2,1372.9,5.3,2
volume,1925,1532.4,4.8,2.3
vomit,1182.7,532.7,6.2,1.8
voodoo,1488.3,857.5,5.3,2.1
vortex,2413.4,3516.2,4.5,2.4
voucher,1740.4,967.1,4.8,2.1
vowel,1668.6,637.9,5.5,2.1
voyage,1490.5,565.7,5.3,2
vulgar,1797.1,1527,3.9,2.4
vulture,1378.9,575.7,6.3,1.7
wacky,2487.9,1994.2,4.5,2
waffle,1375.1,903.1,6.7,1.2
wager,2075.9,1849.3,3.6,2.2
wagon,1243.5,778.2,6.3,1.6
waiter,1020.1,447,6.8,0.7
waitress,1262.9,728.2,6.7,1.1
waiver,1752.1,1024.7,3.7,2.2
wallet,1134.2,964.7,6.5,1.5
wallop,1879.9,1776.1,3,2.3
wallow,2058.2,1677.1,3.2,2
walnut,1166.5,1000,6.7,0.8
walrus,1207.1,625.2,6.6,1.6
wander,1772.4,1348.4,4,2.2
wanted,2352.1,1487.2,4,2.4
wanton,2075.1,1727.3,3.9,2.5
warden,1273.1,622.4,5.3,2
warlock,1766.9,1607.8,4.5,2.5
warrant,1884.2,1341.3,5,2.4
wary,1850.3,1379.2,2.9,2.2
water,1214.2,640.2,6.7,1.3
weapon,1030.5,322.1,6.5,0.9
weary,1897.3,1240,3.8,2.2
weasel,1115.8,462,6.1,1.8
weather,1623.9,1504.3,6.3,1.6
wedding,1237.8,668,6.5,1
wedgie,3117.4,8614.7,6.3,1.5
wedlock,1783.2,1079.6,3.7,2.4
weekend,1604.3,1140,4.9,2.3
weirdo,1445.2,800,5.3,2
welcome,2208,2066.6,4.4,2.4
welfare,1966.8,1713.7,4.1,2.3
whammy,2260,2709,3.2,2.2
whereas,1453.1,703.5,1.5,1.3
whether,1676,964.9,2.5,2.2
whimper,1653.7,1078,5,2.1
whiskey,1029.5,339.2,6.7,1.1
whisky,1236.3,983,6.1,1.8
whisper,2064.9,2557.6,5.3,1.9
whistle,1092,405.2,6.1,1.7
whoopee,2176.8,1475.9,3.9,2.4
whopper,1211.5,490.4,6.4,1.5
wicked,1806.1,1105.8,5.2,1.9
widow,1508,932.6,5.9,1.7
wiggle,1744.5,1121.4,5.2,2
wily,2466.9,4030.7,2.6,2
window,1128.1,519.4,6.8,0.7
winter,1164,504.4,6.5,1.5
wisdom,1719.3,949.7,3.9,2.1
withdraw,2104.1,2065,4.3,2.5
wither,1562.1,829.6,4.3,2.3
without,2329.1,1887.4,2,1.4
witness,2281.9,2294.7,5.5,1.7
wizard,1304.6,1205.4,6.5,1
wobble,1587.9,1103.2,4.5,2.4
woman,1221.6,648.9,6.3,1.4
wonder,2266.7,2274.7,3.7,2.1
wondrous,1812.8,1318.8,3.4,2.3
woozy,1532.7,811.7,4.2,2.2
worry,2346.5,2544.5,4.1,2
worship,1660.5,960.9,5.4,2.2
wrestle,1311.5,692.3,6.5,1
wrinkle,1140.9,548.9,6.6,0.9
yahoo,1593.8,980.3,5.1,2.2
yellow,1260.1,994.6,6.7,1.4
yodel,1693.4,1532.6,4.5,2.3
yoga,1142.9,675.8,6.5,1
yogurt,1375.8,997.2,6.4,1.5
yonder,2572.4,2664.5,3.4,2
yourself,1928,1527.7,5.5,2.1
yummy,1741.8,1027.8,4.6,2.3
yuppie,1940.3,1378.1,4.3,2.4
zebra,1100.6,842.3,6.6,1.2
zephyr,1963,1473.7,3.1,2.3
zero,1416.7,555,6,2.1
zipper,967.1,307.8,6.7,0.8
zombie,1181,543.4,6.7,0.7
